# Failure-criterion data for C/SiC -- inputs and validation targets for C4
# (the Hashin / Tsai-Wu / D-criterion comparison in KMACRO31).
#
# READ data/literature/README.md BEFORE USING.  The `confidence` column says
# whether a number came from the full text, a digitized figure, or a secondary
# summary.  Nothing marked `secondary` may be cited.
#
# ROLE column -- this matters more here than anywhere else in the project:
#   input       a number that is allowed to go on a UMAT card
#   validation  a COMPOSITE-level measurement.  The model must PREDICT it.
#               Putting one of these on a card double-counts the thermal
#               residual stress and destroys the whole TRS argument.
#
# The D-criterion critical damages (D11max, D22max, D66max) are the awkward
# case: they are composite-level, but the criterion is DEFINED by them the way
# Tsai-Wu is defined by Xt/Xc/S12.  They are therefore `input` -- but they are
# properties OF THE CRITERION, and using Yang's values means using Yang's
# material.  Replace them with values read off our own RVE virtual tests (the
# damage at the peak of the homogenised sigma-epsilon curve) as soon as M3 has
# run, and state in the thesis which set produced which figure.
#
# Units: strengths and moduli in MPa; damages and ratios dimensionless; T in K.
source_key,material,quantity,T_K,value,lo,hi,unit,role,confidence,note
YANG2014,2.5D C/SiC,eta1_shear_knockdown,293,0.2,,,-,input,fulltext,"Eq.7a: tensile s1 REDUCES the shear strength, S12_eff = S12 - eta1*s1. Not implemented in KMACRO31 -- noted as a modelling limitation"
YANG2014,2.5D C/SiC,eta2_shear_friction,293,0.15,,,-,input,fulltext,"Eq.7b: compressive s1 RAISES the shear strength (internal friction). KMACRO31 gets a similar effect through unilateral crack closure (HCLO) rather than through the strength envelope"
# --------------------------------------------------------------------------
# [35] Yan, Zhang, Qiao, Li, Han, Materials and Design 32 (2011) 3504-3508.
#      2D plain-woven C/SiC, in-plane shear strength by compression of
#      double-notched specimens, vacuum, 0.595 mm/min.  Fig. 5.
#
#      *** THIS IS THE TEMPERATURE-DEPENDENT FAILURE TARGET ***
#      IPSS RISES ~39 % from RT to 1273 K and then falls.  The paper
#      attributes the rise to RELAXATION OF THE THERMAL RESIDUAL TENSILE
#      STRESS at the fibre/matrix interface as T approaches the 1273 K
#      preparation temperature (their Eq.2), and the fall above 1273 K to
#      matrix cracking under the now-compressive residual stress.
#      A TRS-resolved model should reproduce the shape WITHOUT being told.
#      That makes this the cleanest available validation of the TRS theme.
# --------------------------------------------------------------------------
YAN2011,2D C/SiC CVI plain weave,S12,293,144.1,134.3,153.9,MPa,validation,digitized,"Fig. 5, room temperature. Digitized by connected-component detection of the marker squares; axis calibration from the plot frame (250/100 MPa, 200/2000 K). Marker-centre accuracy ~1 MPa, well inside the plotted scatter"
YAN2011,2D C/SiC CVI plain weave,S12,973,183.7,173.5,194.2,MPa,validation,digitized,"Fig. 5. ratio to RT = 1.275"
YAN2011,2D C/SiC CVI plain weave,S12,1173,185.7,177.5,193.9,MPa,validation,digitized,"Fig. 5. ratio to RT = 1.289"
YAN2011,2D C/SiC CVI plain weave,S12,1273,200.1,184.1,216.4,MPa,validation,digitized,"Fig. 5 PEAK. ratio to RT = 1.389. The paper states in its conclusions that the maximum is at 1273 K, which is the preparation temperature -- the digitized peak lands on exactly that abscissa, which is the check that the calibration is right"
YAN2011,2D C/SiC CVI plain weave,S12,1473,183.7,163.0,204.4,MPa,validation,digitized,"Fig. 5. ratio to RT = 1.275"
YAN2011,2D C/SiC CVI plain weave,S12,1673,188.1,176.8,199.3,MPa,validation,digitized,"Fig. 5. ratio to RT = 1.305"
YAN2011,2D C/SiC CVI plain weave,S12,1873,178.3,167.7,188.8,MPa,validation,digitized,"Fig. 5, highest temperature tested. ratio to RT = 1.237"
YAN2011,2D C/SiC CVI plain weave,T_preparation,1273,1273,,,K,input,fulltext,"stated preparation temperature; the stress-free temperature of THEIR material. Ours is 1050 C = 1323 K (PIP pyrolysis), so the peak of our predicted S12(T) should sit near 1323 K, not 1273 K"
YAN2011,2D C/SiC CVI plain weave,alpha_fibre_axial,293,1.0e-6,,,1/K,validation,fulltext,"quoted in Section 3.2 for their Eq.2. Our card uses -0.3e-6 (Zhang 2022 Table 1); the disagreement is real and is why constituent CTE is a sensitivity parameter"
YAN2011,2D C/SiC CVI plain weave,alpha_matrix,293,4.8e-6,,,1/K,validation,fulltext,"quoted in Section 3.2; compare our SiC card value 4.5e-6 at 23 C -- these agree to 7 %"
