kind,step,phase,item,value,x,y,z,basis,verdict
phase,Manufacturing_Cooling,YARN0,damg_p99,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN0,damg_max,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN0,volfrac_damg_ge_0.01,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN0,volfrac_damg_ge_0.10,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN0,volfrac_damg_ge_0.50,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN0,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN1,volume_mm3,0.671983,,,,sum of IVOL over the phase,intact
phase,Manufacturing_Cooling,YARN1,damg_mean,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN1,damg_p50,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN1,damg_p90,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN1,damg_p99,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN1,damg_max,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN1,volfrac_damg_ge_0.01,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN1,volfrac_damg_ge_0.10,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN1,volfrac_damg_ge_0.50,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN1,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN2,volume_mm3,0.671881,,,,sum of IVOL over the phase,intact
phase,Manufacturing_Cooling,YARN2,damg_mean,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN2,damg_p50,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN2,damg_p90,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN2,damg_p99,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN2,damg_max,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN2,volfrac_damg_ge_0.01,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN2,volfrac_damg_ge_0.10,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN2,volfrac_damg_ge_0.50,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN2,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN3,volume_mm3,0.670832,,,,sum of IVOL over the phase,intact
phase,Manufacturing_Cooling,YARN3,damg_mean,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN3,damg_p50,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN3,damg_p90,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN3,damg_p99,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN3,damg_max,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN3,volfrac_damg_ge_0.01,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN3,volfrac_damg_ge_0.10,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN3,volfrac_damg_ge_0.50,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Manufacturing_Cooling,YARN3,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",intact
hotspot,Manufacturing_Cooling,MATRIX,rank1_element22094,0.344269,0.228088,-0.123484,0.394958,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank2_element14378,0.341471,-0.0593507,1.47158,0.402833,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank3_element14366,0.338336,-0.0593507,1.47158,-0.0132609,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank4_element22084,0.337793,0.228088,-0.123484,-0.0131235,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank5_element17917,0.337058,0.20784,-0.0168423,-0.00737244,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank6_element17931,0.336937,0.20784,-0.0168423,0.41261,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank7_element10224,0.336475,-0.153613,1.7651,-0.00148257,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank8_element12528,0.336243,1.7569,2.06783,-0.00281042,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank9_element10977,0.335111,2.04377,1.60645,0.38958,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank10_element13093,0.334099,0.0264539,-0.0541582,0.409245,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank11_element13328,0.333131,0.0137123,1.50937,-0.00668832,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank12_element10699,0.333129,2.00841,-0.0784824,0.00386397,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank13_element20220,0.333086,1.94925,1.64531,0.398667,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank14_element14377,0.332294,-0.0479369,1.43495,0.392397,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank15_element15236,0.332045,2.01189,-0.0338714,0.00346345,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank16_element13264,0.331973,-0.00431806,1.46903,-0.0132609,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank17_element14604,0.331473,0.257994,-0.00303742,0.41261,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank18_element10233,0.330699,-0.153613,1.7651,0.402037,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank19_element13595,0.330678,2.04698,-0.00526472,0.00642208,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank20_element22366,0.330234,1.79035,-0.095961,0.408171,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank21_element10366,0.328904,-0.165502,1.82182,0.407894,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank22_element13341,0.328889,0.0137123,1.50937,0.405669,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank23_element20523,0.328834,1.8737,2.00581,-0.00394789,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank24_element14590,0.328105,0.257994,-0.00303742,-0.0131235,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank25_element10356,0.327907,-0.165502,1.82182,-0.000387576,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank26_element13278,0.32785,-0.00431806,1.46903,0.412746,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank27_element11758,0.32737,-0.271236,1.78495,-0.0126594,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank28_element12529,0.32732,1.73592,2.09696,0.0091742,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank29_element22354,0.32704,1.79035,-0.095961,-0.00325885,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank30_element22334,0.326989,1.83518,0.0115088,-0.0148383,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,ALL,elements_at_cap,0,,,,"DAMG >= 0.9900, the card's DMAX",single_point
profile,Manufacturing_Cooling,ALL,x_000_010pct,0.00701325,,,,"volume-weighted mean DAMG, x in [-0.8653, -0.5173] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_010_020pct,0.0261337,,,,"volume-weighted mean DAMG, x in [-0.5173, -0.1692] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_020_030pct,0.0377849,,,,"volume-weighted mean DAMG, x in [-0.1692, 0.1789] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_030_040pct,0.0263495,,,,"volume-weighted mean DAMG, x in [0.1789, 0.527] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_040_050pct,0.00646297,,,,"volume-weighted mean DAMG, x in [0.527, 0.8751] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_050_060pct,0.00674573,,,,"volume-weighted mean DAMG, x in [0.8751, 1.223] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_060_070pct,0.0249434,,,,"volume-weighted mean DAMG, x in [1.223, 1.571] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_070_080pct,0.0377107,,,,"volume-weighted mean DAMG, x in [1.571, 1.919] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_080_090pct,0.0264734,,,,"volume-weighted mean DAMG, x in [1.919, 2.267] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_090_100pct,0.00684992,,,,"volume-weighted mean DAMG, x in [2.267, 2.615] mm",interior_dominant
phase,Heating_to_500C,MATRIX,volume_mm3,2.70449,,,,sum of IVOL over the phase,localised
phase,Heating_to_500C,MATRIX,damg_mean,0.0653241,,,,max of DMT/DMC,localised
phase,Heating_to_500C,MATRIX,damg_p50,0.0686895,,,,max of DMT/DMC,localised
phase,Heating_to_500C,MATRIX,damg_p90,0.342287,,,,max of DMT/DMC,localised
phase,Heating_to_500C,MATRIX,damg_p99,0.378373,,,,max of DMT/DMC,localised
phase,Heating_to_500C,MATRIX,damg_max,0.9,,,,max of DMT/DMC,localised
phase,Heating_to_500C,MATRIX,volfrac_damg_ge_0.01,0.356939,,,,"max of DMT/DMC, volume-weighted",localised
phase,Heating_to_500C,MATRIX,volfrac_damg_ge_0.10,0.255185,,,,"max of DMT/DMC, volume-weighted",localised
phase,Heating_to_500C,MATRIX,volfrac_damg_ge_0.50,0.00124799,,,,"max of DMT/DMC, volume-weighted",localised
phase,Heating_to_500C,MATRIX,volfrac_damg_ge_0.90,0,,,,"max of DMT/DMC, volume-weighted",localised
phase,Heating_to_500C,MATRIX,modefrac_11_matrix_tension,0.999148,,,,"DMODE 11 = matrix_tension, volume-weighted",localised
phase,Heating_to_500C,MATRIX,modefrac_12_matrix_compression,0.000851956,,,,"DMODE 12 = matrix_compression, volume-weighted",localised
phase,Heating_to_500C,YARN0,volume_mm3,0.670818,,,,sum of IVOL over the phase,intact
phase,Heating_to_500C,YARN0,damg_mean,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN0,damg_p50,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN0,damg_p90,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN0,damg_p99,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN0,damg_max,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN0,volfrac_damg_ge_0.01,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN0,volfrac_damg_ge_0.10,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN0,volfrac_damg_ge_0.50,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN0,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN1,volume_mm3,0.671983,,,,sum of IVOL over the phase,intact
phase,Heating_to_500C,YARN1,damg_mean,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN1,damg_p50,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN1,damg_p90,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN1,damg_p99,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN1,damg_max,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN1,volfrac_damg_ge_0.01,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN1,volfrac_damg_ge_0.10,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN1,volfrac_damg_ge_0.50,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN1,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN2,volume_mm3,0.671881,,,,sum of IVOL over the phase,intact
phase,Heating_to_500C,YARN2,damg_mean,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN2,damg_p50,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN2,damg_p90,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN2,damg_p99,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN2,damg_max,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN2,volfrac_damg_ge_0.01,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN2,volfrac_damg_ge_0.10,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN2,volfrac_damg_ge_0.50,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN2,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN3,volume_mm3,0.670832,,,,sum of IVOL over the phase,intact
phase,Heating_to_500C,YARN3,damg_mean,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN3,damg_p50,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN3,damg_p90,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN3,damg_p99,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN3,damg_max,0,,,,max of DY1/DYT,intact
phase,Heating_to_500C,YARN3,volfrac_damg_ge_0.01,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN3,volfrac_damg_ge_0.10,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN3,volfrac_damg_ge_0.50,0,,,,"max of DY1/DYT, volume-weighted",intact
phase,Heating_to_500C,YARN3,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",intact
hotspot,Heating_to_500C,MATRIX,rank1_element10,0.9,-0.845623,-0.845625,0.0075,DMODE 12 = matrix_compression,softening
hotspot,Heating_to_500C,MATRIX,rank2_element2557,0.9,2.59562,2.59562,0.0075,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank3_element1633,0.9,2.59562,-0.845625,0.0075,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank4_element2566,0.9,2.59562,2.56624,0.383333,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank5_element886,0.9,-0.845623,2.59562,0.0075,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank6_element1642,0.9,2.59562,-0.845625,0.3925,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank7_element19,0.899999,-0.816246,-0.845625,0.383333,DMODE 12 = matrix_compression,softening
hotspot,Heating_to_500C,MATRIX,rank8_element2565,0.899999,2.59562,2.59562,0.355833,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank9_element895,0.899999,-0.845623,2.56624,0.383333,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank10_element894,0.899999,-0.816246,2.59562,0.346666,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank11_element893,0.899999,-0.845623,2.59562,0.319167,DMODE 11 = matrix_tension,softening
hotspot,Heating_to_500C,MATRIX,rank12_element18,0.899999,-0.845623,-0.845625,0.355833,DMODE 12 = matrix_compression,softening
hotspot,Heating_to_500C,MATRIX,rank13_element22094,0.409303,0.228088,-0.123484,0.394958,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank14_element12528,0.407045,1.7569,2.06783,-0.00281042,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank15_element14378,0.407007,-0.0593507,1.47158,0.402833,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank16_element14377,0.404708,-0.0479369,1.43495,0.392397,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank17_element14366,0.403964,-0.0593507,1.47158,-0.0132609,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank18_element22084,0.40355,0.228088,-0.123484,-0.0131235,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank19_element12529,0.403008,1.73592,2.09696,0.0091742,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank20_element10977,0.402543,2.04377,1.60645,0.38958,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank21_element10699,0.400916,2.00841,-0.0784824,0.00386397,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank22_element20523,0.399434,1.8737,2.00581,-0.00394789,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank23_element17917,0.398222,0.20784,-0.0168423,-0.00737244,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank24_element10224,0.398177,-0.153613,1.7651,-0.00148257,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank25_element17931,0.39786,0.20784,-0.0168423,0.41261,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank26_element15236,0.397799,2.01189,-0.0338714,0.00346345,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank27_element13595,0.39718,2.04698,-0.00526472,0.00642208,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank28_element22306,0.396885,2.03794,-0.127572,-0.00250057,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank29_element20535,0.395708,1.8737,2.00581,0.411727,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,MATRIX,rank30_element13264,0.395681,-0.00431806,1.46903,-0.0132609,DMODE 11 = matrix_tension,initiated
hotspot,Heating_to_500C,ALL,elements_at_cap,0,,,,"DAMG >= 0.9900, the card's DMAX",single_point
profile,Heating_to_500C,ALL,x_000_010pct,0.0185695,,,,"volume-weighted mean DAMG, x in [-0.8653, -0.5173] mm",interior_dominant
profile,Heating_to_500C,ALL,x_010_020pct,0.0374233,,,,"volume-weighted mean DAMG, x in [-0.5173, -0.1692] mm",interior_dominant
profile,Heating_to_500C,ALL,x_020_030pct,0.0575351,,,,"volume-weighted mean DAMG, x in [-0.1692, 0.1789] mm",interior_dominant
profile,Heating_to_500C,ALL,x_030_040pct,0.0377263,,,,"volume-weighted mean DAMG, x in [0.1789, 0.527] mm",interior_dominant
profile,Heating_to_500C,ALL,x_040_050pct,0.0138932,,,,"volume-weighted mean DAMG, x in [0.527, 0.8751] mm",interior_dominant
profile,Heating_to_500C,ALL,x_050_060pct,0.0149398,,,,"volume-weighted mean DAMG, x in [0.8751, 1.223] mm",interior_dominant
profile,Heating_to_500C,ALL,x_060_070pct,0.0358396,,,,"volume-weighted mean DAMG, x in [1.223, 1.571] mm",interior_dominant
profile,Heating_to_500C,ALL,x_070_080pct,0.0571781,,,,"volume-weighted mean DAMG, x in [1.571, 1.919] mm",interior_dominant
profile,Heating_to_500C,ALL,x_080_090pct,0.0378975,,,,"volume-weighted mean DAMG, x in [1.919, 2.267] mm",interior_dominant
profile,Heating_to_500C,ALL,x_090_100pct,0.0172798,,,,"volume-weighted mean DAMG, x in [2.267, 2.615] mm",interior_dominant
phase,Tension_at_500C,MATRIX,volume_mm3,2.70449,,,,sum of IVOL over the phase,distributed
phase,Tension_at_500C,MATRIX,damg_mean,0.281901,,,,max of DMT/DMC,distributed
phase,Tension_at_500C,MATRIX,damg_p50,0.437044,,,,max of DMT/DMC,distributed
phase,Tension_at_500C,MATRIX,damg_p90,0.896221,,,,max of DMT/DMC,distributed
phase,Tension_at_500C,MATRIX,damg_p99,0.899957,,,,max of DMT/DMC,distributed
phase,Tension_at_500C,MATRIX,damg_max,0.9,,,,max of DMT/DMC,distributed
phase,Tension_at_500C,MATRIX,volfrac_damg_ge_0.01,0.487829,,,,"max of DMT/DMC, volume-weighted",distributed
phase,Tension_at_500C,MATRIX,volfrac_damg_ge_0.10,0.434153,,,,"max of DMT/DMC, volume-weighted",distributed
phase,Tension_at_500C,MATRIX,volfrac_damg_ge_0.50,0.304533,,,,"max of DMT/DMC, volume-weighted",distributed
phase,Tension_at_500C,MATRIX,volfrac_damg_ge_0.90,0,,,,"max of DMT/DMC, volume-weighted",distributed
phase,Tension_at_500C,MATRIX,modefrac_11_matrix_tension,0.99816,,,,"DMODE 11 = matrix_tension, volume-weighted",distributed
phase,Tension_at_500C,MATRIX,modefrac_12_matrix_compression,0.00184029,,,,"DMODE 12 = matrix_compression, volume-weighted",distributed
phase,Tension_at_500C,YARN0,volume_mm3,0.670818,,,,sum of IVOL over the phase,distributed
phase,Tension_at_500C,YARN0,damg_mean,0.205142,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN0,damg_p50,0.154562,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN0,damg_p90,0.579729,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN0,damg_p99,0.825493,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN0,damg_max,0.877401,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN0,volfrac_damg_ge_0.01,0.587852,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_500C,YARN0,volfrac_damg_ge_0.10,0.516632,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_500C,YARN0,volfrac_damg_ge_0.50,0.147676,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_500C,YARN0,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_500C,YARN0,modefrac_21_yarn_long_tension,0.599287,,,,"DMODE 21 = yarn_long_tension, volume-weighted",distributed
phase,Tension_at_500C,YARN0,modefrac_23_yarn_trans_tension,0.400713,,,,"DMODE 23 = yarn_trans_tension, volume-weighted",distributed
phase,Tension_at_500C,YARN1,volume_mm3,0.671983,,,,sum of IVOL over the phase,distributed
phase,Tension_at_500C,YARN1,damg_mean,0.205865,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN1,damg_p50,0.139455,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN1,damg_p90,0.59996,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN1,damg_p99,0.831782,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN1,damg_max,0.889533,,,,max of DY1/DYT,distributed
phase,Tension_at_500C,YARN1,volfrac_damg_ge_0.01,0.592701,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_500C,YARN1,volfrac_damg_ge_0.10,0.522545,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_500C,YARN1,volfrac_damg_ge_0.50,0.153068,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_500C,YARN1,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_500C,YARN1,modefrac_21_yarn_long_tension,0.599191,,,,"DMODE 21 = yarn_long_tension, volume-weighted",distributed
phase,Tension_at_500C,YARN1,modefrac_23_yarn_trans_tension,0.400809,,,,"DMODE 23 = yarn_trans_tension, volume-weighted",distributed
phase,Tension_at_500C,YARN2,volume_mm3,0.671881,,,,sum of IVOL over the phase,saturated
phase,Tension_at_500C,YARN2,damg_mean,0.587108,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN2,damg_p50,0.751074,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN2,damg_p90,0.899765,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN2,damg_p99,0.899969,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN2,damg_max,0.899978,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN2,volfrac_damg_ge_0.01,0.797084,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_500C,YARN2,volfrac_damg_ge_0.10,0.786499,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_500C,YARN2,volfrac_damg_ge_0.50,0.687266,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_500C,YARN2,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_500C,YARN2,modefrac_23_yarn_trans_tension,1,,,,"DMODE 23 = yarn_trans_tension, volume-weighted",saturated
phase,Tension_at_500C,YARN3,volume_mm3,0.670832,,,,sum of IVOL over the phase,saturated
phase,Tension_at_500C,YARN3,damg_mean,0.585173,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN3,damg_p50,0.755364,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN3,damg_p90,0.899788,,,,max of DY1/DYT,saturated
